"Gender
ولد ولا بنت","Age
عندك كام سنة","Do you feel happy when others suffer?
هل تشعر بالسعادة لما الاخرين بيتألموا؟","Do you prefer games that are based on violence?
بتحب الالعاب الى فيها عنف ؟","Do you have severe emotional outbursts?
 هل بتتاثربالمواقف العاطفية؟","Do you bully others physically or online?
هل بتتنمر علي الناس؟","Do you feel angry or lose your temper often?
بتبقي غضبان او بتفقد اعصابك باستمرار","When you get into a fight, what you use?
لما بتتخانق بتستخدم ايه ","Have you ever been cruel to an animal?
هل بتتعامل مع الحيوانات بقسوة؟","Are your parents wanted by the police or have they committed a crime before?
هل حد من بابا او ماما عمل خطأ غير قانوني ادى الى ان الشرطة تاخدهم القسم ؟
","Any of these actions you have done before or are still doing ?  
هل فى اى حاجة من الافعال دي عملتها ؟ 

*Trespassing - التعدي على ممتلكات الغير
*School Escape - الهروب من المدرسة
*Threatening Your Colleagues - تهديد زملائك
*You have physical injuries from fights - عندك اصابات فى جسمك من خناقات
*You're hitting your Colleagues or others in fights - تضرب زملائك او غير زملائك
*Frequent refusal to command parents or others in authority -  بترفض تسمع كلام اباءك
*Drug abuse, cigarettes, hookah or drinking alcohol - بتشرب مخدرات او سجايراو شيشة او خمور","What would you do if you witnessed someone being abused ? 
هتعمل اية لو شوفت شخص بيتعرض للايذاء او الضرب","What is your parental education level? (either of them) 
ماهو المستوى التعليمي عند والديك (اى منهما)","Did your father lose his job sometime for a long time?
هل والدك فقد عمله لوقت طويل ؟","Is there a family member addicted to alcohol or drugs?
هل احد من عائلتك مدمن الخمور او المخدرات ؟"
Female /  بنت,14-16 years,Yes / اه,Yes / اه,Yes / اه,Yes / اه,Yes / اه,Brick or Stone بستخدم الحجر,No / لا,No / لا,No / لا,You'll ignore him/her هتتاجهله - هتتجاهلها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,Yes / اه,No / لا
Female /  بنت,17-19 years,Yes / اه,No / لا,No / لا,Yes / اه,No / لا,"White weapon (razor, knife) بستخدم سكين او موس",No / لا,Yes / اه,No / لا,You'll help him/her - هتساعده / هتساعدها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,Yes / اه,Yes / اه
Female /  بنت,17-19 years,No / لا,Yes / اه,No / لا,No / لا,Yes / اه,Use your power بستخدم قوتي,No / لا,No / لا,Yes / اه,You'll help him/her - هتساعده / هتساعدها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Male / ولد,17-19 years,No / لا,Yes / اه,Yes / اه,No / لا,Yes / اه,Use your power بستخدم قوتي,No / لا,No / لا,No / لا,You'll help him/her - هتساعده / هتساعدها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Male / ولد,17-19 years,No / لا,No / لا,Yes / اه,Yes / اه,No / لا,Use your power بستخدم قوتي,No / لا,No / لا,No / لا,You'll ignore him/her هتتاجهله - هتتجاهلها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Female /  بنت,17-19 years,No / لا,No / لا,Yes / اه,No / لا,No / لا,Use your power بستخدم قوتي,No / لا,No / لا,No / لا,You'll ignore him/her هتتاجهله - هتتجاهلها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,Yes / اه
Male / ولد,14-16 years,No / لا,Yes / اه,No / لا,No / لا,No / لا,Use your power بستخدم قوتي,No / لا,No / لا,No / لا,You'll help him/her - هتساعده / هتساعدها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Male / ولد,17-19 years,No / لا,No / لا,Yes / اه,No / لا,Yes / اه,Use your power بستخدم قوتي,No / لا,No / لا,Yes / اه,You'll help him/her - هتساعده / هتساعدها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,Yes / اه,No / لا
Female /  بنت,17-19 years,No / لا,No / لا,No / لا,No / لا,No / لا,Use your power بستخدم قوتي,No / لا,No / لا,No / لا,You'll ignore him/her هتتاجهله - هتتجاهلها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Male / ولد,17-19 years,No / لا,Yes / اه,No / لا,No / لا,Yes / اه,Use your power بستخدم قوتي,No / لا,No / لا,Yes / اه,You'll help him/her - هتساعده / هتساعدها,Parents have less than a high school diploma متعلمين لغاية قبل ثانوية عامة,No / لا,No / لا
Female /  بنت,14-16 years,No / لا,No / لا,Yes / اه,No / لا,Yes / اه,Use your power بستخدم قوتي,No / لا,No / لا,No / لا,You'll help him/her - هتساعده / هتساعدها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Female /  بنت,17-19 years,No / لا,Yes / اه,Yes / اه,No / لا,Yes / اه,Use your power بستخدم قوتي,No / لا,No / لا,No / لا,You'll help him/her - هتساعده / هتساعدها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Female /  بنت,17-19 years,No / لا,No / لا,Yes / اه,No / لا,No / لا,Use your power بستخدم قوتي,No / لا,No / لا,Yes / اه,You'll help him/her - هتساعده / هتساعدها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Male / ولد,17-19 years,No / لا,Yes / اه,Yes / اه,Yes / اه,No / لا,Use your power بستخدم قوتي,No / لا,No / لا,No / لا,You'll help him/her - هتساعده / هتساعدها,مش متعلم Uneducated,No / لا,No / لا
Male / ولد,17-19 years,No / لا,Yes / اه,Yes / اه,Yes / اه,Yes / اه,Use your power بستخدم قوتي,Yes / اه,No / لا,No / لا,You'll help him/her - هتساعده / هتساعدها,Both parents have a high school diploma معاهم ثانوية عامة,Yes / اه,No / لا
Female /  بنت,17-19 years,No / لا,No / لا,Yes / اه,Yes / اه,Yes / اه,Use your power بستخدم قوتي,No / لا,No / لا,No / لا,You'll help him/her - هتساعده / هتساعدها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Male / ولد,17-19 years,No / لا,Yes / اه,Yes / اه,No / لا,No / لا,Use your power بستخدم قوتي,No / لا,No / لا,No / لا,You'll help him/her - هتساعده / هتساعدها,Both parents have a high school diploma معاهم ثانوية عامة,No / لا,No / لا
Female /  بنت,17-19 years,No / لا,No / لا,No / لا,No / لا,No / لا,Use your power بستخدم قوتي,No / لا,No / لا,No / لا,You'll help him/her - هتساعده / هتساعدها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Female /  بنت,17-19 years,No / لا,No / لا,Yes / اه,No / لا,No / لا,Use your power بستخدم قوتي,No / لا,No / لا,No / لا,You'll help him/her - هتساعده / هتساعدها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Male / ولد,17-19 years,No / لا,No / لا,Yes / اه,Yes / اه,Yes / اه,Use your power بستخدم قوتي,No / لا,No / لا,Yes / اه,You'll help him/her - هتساعده / هتساعدها,Both parents have a high school diploma معاهم ثانوية عامة,No / لا,No / لا
Male / ولد,17-19 years,No / لا,No / لا,No / لا,No / لا,No / لا,Use your power بستخدم قوتي,No / لا,No / لا,No / لا,You'll help him/her - هتساعده / هتساعدها,Both parents have a high school diploma معاهم ثانوية عامة,Yes / اه,No / لا
Female /  بنت,17-19 years,No / لا,Yes / اه,Yes / اه,No / لا,Yes / اه,Use your power بستخدم قوتي,No / لا,No / لا,No / لا,You'll help him/her - هتساعده / هتساعدها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Male / ولد,17-19 years,No / لا,No / لا,Yes / اه,No / لا,Yes / اه,Use your power بستخدم قوتي,No / لا,No / لا,No / لا,You'll help him/her - هتساعده / هتساعدها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Male / ولد,17-19 years,Yes / اه,Yes / اه,No / لا,Yes / اه,No / لا,"White weapon (razor, knife) بستخدم سكين او موس",No / لا,No / لا,Yes / اه,You'll help him/her - هتساعده / هتساعدها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Male / ولد,17-19 years,No / لا,Yes / اه,Yes / اه,No / لا,No / لا,Use your power بستخدم قوتي,Yes / اه,No / لا,No / لا,You'll help him/her - هتساعده / هتساعدها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Female /  بنت,17-19 years,No / لا,No / لا,Yes / اه,No / لا,Yes / اه,Use your power بستخدم قوتي,No / لا,No / لا,No / لا,You'll help him/her - هتساعده / هتساعدها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,Yes / اه
Female /  بنت,17-19 years,No / لا,No / لا,No / لا,Yes / اه,Yes / اه,"White weapon (razor, knife) بستخدم سكين او موس",No / لا,No / لا,No / لا,You'll ignore him/her هتتاجهله - هتتجاهلها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Female /  بنت,17-19 years,No / لا,No / لا,Yes / اه,No / لا,No / لا,Use your power بستخدم قوتي,No / لا,No / لا,Yes / اه,You'll ignore him/her هتتاجهله - هتتجاهلها,Both parents have a high school diploma معاهم ثانوية عامة,Yes / اه,Yes / اه
Female /  بنت,17-19 years,No / لا,Yes / اه,Yes / اه,Yes / اه,Yes / اه,Brick or Stone بستخدم الحجر,No / لا,No / لا,Yes / اه,You'll help him/her - هتساعده / هتساعدها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Male / ولد,17-19 years,Yes / اه,Yes / اه,No / لا,No / لا,Yes / اه,Use your power بستخدم قوتي,Yes / اه,No / لا,Yes / اه,You'll help him/her - هتساعده / هتساعدها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Male / ولد,11-13 years,No / لا,No / لا,Yes / اه,No / لا,No / لا,Use your power بستخدم قوتي,No / لا,Yes / اه,No / لا,You'll ignore him/her هتتاجهله - هتتجاهلها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Male / ولد,11-13 years,No / لا,No / لا,No / لا,No / لا,No / لا,Use your power بستخدم قوتي,No / لا,Yes / اه,No / لا,You'll help him/her - هتساعده / هتساعدها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Female /  بنت,17-19 years,No / لا,No / لا,Yes / اه,No / لا,Yes / اه,Use your power بستخدم قوتي,No / لا,No / لا,No / لا,You'll help him/her - هتساعده / هتساعدها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,Yes / اه,No / لا
Male / ولد,17-19 years,No / لا,Yes / اه,Yes / اه,No / لا,Yes / اه,Use your power بستخدم قوتي,No / لا,No / لا,Yes / اه,You'll help him/her - هتساعده / هتساعدها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Female /  بنت,17-19 years,No / لا,No / لا,Yes / اه,Yes / اه,No / لا,Use your power بستخدم قوتي,No / لا,No / لا,No / لا,You'll ignore him/her هتتاجهله - هتتجاهلها,Parents have less than a high school diploma متعلمين لغاية قبل ثانوية عامة,Yes / اه,No / لا
Female /  بنت,17-19 years,No / لا,No / لا,Yes / اه,No / لا,No / لا,Use your power بستخدم قوتي,No / لا,Yes / اه,No / لا,You'll ignore him/her هتتاجهله - هتتجاهلها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,Yes / اه,No / لا
Female /  بنت,17-19 years,Yes / اه,Yes / اه,No / لا,Yes / اه,No / لا,Use your power بستخدم قوتي,No / لا,No / لا,No / لا,You'll ignore him/her هتتاجهله - هتتجاهلها,Parents have less than a high school diploma متعلمين لغاية قبل ثانوية عامة,No / لا,Yes / اه
Female /  بنت,17-19 years,No / لا,No / لا,Yes / اه,No / لا,Yes / اه,Use your power بستخدم قوتي,No / لا,No / لا,No / لا,You'll help him/her - هتساعده / هتساعدها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,Yes / اه
Female /  بنت,17-19 years,No / لا,No / لا,Yes / اه,No / لا,Yes / اه,Use your power بستخدم قوتي,No / لا,No / لا,No / لا,You'll help him/her - هتساعده / هتساعدها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Female /  بنت,17-19 years,No / لا,No / لا,Yes / اه,No / لا,Yes / اه,Use your power بستخدم قوتي,No / لا,No / لا,No / لا,You'll help him/her - هتساعده / هتساعدها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Male / ولد,17-19 years,No / لا,No / لا,Yes / اه,Yes / اه,No / لا,Use your power بستخدم قوتي,No / لا,No / لا,No / لا,You'll help him/her - هتساعده / هتساعدها,Both parents have a high school diploma معاهم ثانوية عامة,No / لا,No / لا
Female /  بنت,17-19 years,No / لا,Yes / اه,Yes / اه,No / لا,No / لا,Use your power بستخدم قوتي,No / لا,No / لا,No / لا,You'll help him/her - هتساعده / هتساعدها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Female /  بنت,14-16 years,No / لا,No / لا,Yes / اه,No / لا,No / لا,Use your power بستخدم قوتي,No / لا,No / لا,No / لا,You'll ignore him/her هتتاجهله - هتتجاهلها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Male / ولد,17-19 years,No / لا,Yes / اه,Yes / اه,No / لا,No / لا,Use your power بستخدم قوتي,No / لا,No / لا,No / لا,You'll help him/her - هتساعده / هتساعدها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Male / ولد,17-19 years,Yes / اه,Yes / اه,No / لا,Yes / اه,No / لا,Use your power بستخدم قوتي,No / لا,No / لا,Yes / اه,You'll help him/her - هتساعده / هتساعدها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Male / ولد,17-19 years,No / لا,Yes / اه,No / لا,No / لا,Yes / اه,"White weapon (razor, knife) بستخدم سكين او موس",Yes / اه,No / لا,No / لا,You'll ignore him/her هتتاجهله - هتتجاهلها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Male / ولد,17-19 years,No / لا,Yes / اه,Yes / اه,Yes / اه,Yes / اه,Use your power بستخدم قوتي,No / لا,No / لا,Yes / اه,You'll help him/her - هتساعده / هتساعدها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Female /  بنت,14-16 years,No / لا,No / لا,Yes / اه,No / لا,Yes / اه,Use your power بستخدم قوتي,No / لا,No / لا,No / لا,You'll help him/her - هتساعده / هتساعدها,Both parents have a high school diploma معاهم ثانوية عامة,No / لا,Yes / اه
Male / ولد,11-13 years,Yes / اه,Yes / اه,Yes / اه,Yes / اه,Yes / اه,Brick or Stone بستخدم الحجر,Yes / اه,Yes / اه,Yes / اه,You'll help him/her - هتساعده / هتساعدها,مش متعلم Uneducated,Yes / اه,Yes / اه
Female /  بنت,17-19 years,No / لا,No / لا,No / لا,No / لا,No / لا,Use your power بستخدم قوتي,No / لا,No / لا,No / لا,You'll ignore him/her هتتاجهله - هتتجاهلها,Parents have less than a high school diploma متعلمين لغاية قبل ثانوية عامة,No / لا,No / لا
Male / ولد,14-16 years,No / لا,Yes / اه,No / لا,Yes / اه,No / لا,Brick or Stone بستخدم الحجر,No / لا,Yes / اه,No / لا,You'll help him/her - هتساعده / هتساعدها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,Yes / اه,No / لا
Male / ولد,14-16 years,No / لا,Yes / اه,No / لا,No / لا,No / لا,Brick or Stone بستخدم الحجر,No / لا,Yes / اه,No / لا,You'll ignore him/her هتتاجهله - هتتجاهلها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Male / ولد,11-13 years,No / لا,No / لا,Yes / اه,No / لا,Yes / اه,"White weapon (razor, knife) بستخدم سكين او موس",No / لا,No / لا,Yes / اه,You'll help him/her - هتساعده / هتساعدها,مش متعلم Uneducated,No / لا,No / لا
Male / ولد,14-16 years,No / لا,Yes / اه,Yes / اه,No / لا,No / لا,"White weapon (razor, knife) بستخدم سكين او موس",Yes / اه,No / لا,Yes / اه,You'll ignore him/her هتتاجهله - هتتجاهلها,مش متعلم Uneducated,Yes / اه,Yes / اه
Female /  بنت,11-13 years,No / لا,Yes / اه,Yes / اه,Yes / اه,No / لا,"White weapon (razor, knife) بستخدم سكين او موس",No / لا,No / لا,Yes / اه,You'll ignore him/her هتتاجهله - هتتجاهلها,مش متعلم Uneducated,Yes / اه,No / لا
Female /  بنت,11-13 years,No / لا,Yes / اه,No / لا,No / لا,No / لا,Brick or Stone بستخدم الحجر,No / لا,No / لا,Yes / اه,You'll ignore him/her هتتاجهله - هتتجاهلها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,Yes / اه,No / لا
Male / ولد,17-19 years,Yes / اه,No / لا,Yes / اه,No / لا,Yes / اه,Use your power بستخدم قوتي,Yes / اه,Yes / اه,No / لا,You'll ignore him/her هتتاجهله - هتتجاهلها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,Yes / اه
Male / ولد,17-19 years,Yes / اه,Yes / اه,No / لا,Yes / اه,No / لا,Brick or Stone بستخدم الحجر,No / لا,Yes / اه,No / لا,You'll ignore him/her هتتاجهله - هتتجاهلها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Male / ولد,14-16 years,No / لا,No / لا,No / لا,Yes / اه,Yes / اه,Use your power بستخدم قوتي,No / لا,Yes / اه,No / لا,You'll help him/her - هتساعده / هتساعدها,Both parents have a high school diploma معاهم ثانوية عامة,Yes / اه,No / لا
Male / ولد,11-13 years,No / لا,Yes / اه,Yes / اه,Yes / اه,No / لا,Brick or Stone بستخدم الحجر,Yes / اه,No / لا,Yes / اه,You'll help him/her - هتساعده / هتساعدها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Male / ولد,17-19 years,No / لا,No / لا,Yes / اه,No / لا,No / لا,Use your power بستخدم قوتي,No / لا,No / لا,Yes / اه,You'll help him/her - هتساعده / هتساعدها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Female /  بنت,17-19 years,No / لا,No / لا,Yes / اه,No / لا,Yes / اه,Use your power بستخدم قوتي,No / لا,No / لا,No / لا,You'll help him/her - هتساعده / هتساعدها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Female /  بنت,17-19 years,Yes / اه,Yes / اه,No / لا,Yes / اه,Yes / اه,Use your power بستخدم قوتي,No / لا,No / لا,Yes / اه,You'll ignore him/her هتتاجهله - هتتجاهلها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Female /  بنت,17-19 years,No / لا,No / لا,Yes / اه,No / لا,No / لا,Use your power بستخدم قوتي,No / لا,No / لا,Yes / اه,You'll help him/her - هتساعده / هتساعدها,Both parents have a high school diploma معاهم ثانوية عامة,No / لا,No / لا
Female /  بنت,17-19 years,No / لا,No / لا,Yes / اه,No / لا,Yes / اه,Use your power بستخدم قوتي,No / لا,No / لا,No / لا,You'll help him/her - هتساعده / هتساعدها,Parents have less than a high school diploma متعلمين لغاية قبل ثانوية عامة,No / لا,No / لا
Female /  بنت,17-19 years,No / لا,No / لا,Yes / اه,No / لا,Yes / اه,Use your power بستخدم قوتي,No / لا,No / لا,No / لا,You'll help him/her - هتساعده / هتساعدها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Male / ولد,17-19 years,No / لا,No / لا,Yes / اه,No / لا,Yes / اه,Use your power بستخدم قوتي,No / لا,No / لا,No / لا,You'll help him/her - هتساعده / هتساعدها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Male / ولد,17-19 years,No / لا,Yes / اه,No / لا,No / لا,No / لا,Use your power بستخدم قوتي,No / لا,No / لا,Yes / اه,You'll help him/her - هتساعده / هتساعدها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Female /  بنت,17-19 years,No / لا,No / لا,Yes / اه,No / لا,Yes / اه,Use your power بستخدم قوتي,No / لا,No / لا,No / لا,You'll help him/her - هتساعده / هتساعدها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Female /  بنت,17-19 years,No / لا,No / لا,Yes / اه,No / لا,No / لا,Use your power بستخدم قوتي,No / لا,No / لا,Yes / اه,You'll help him/her - هتساعده / هتساعدها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Male / ولد,17-19 years,No / لا,No / لا,Yes / اه,No / لا,Yes / اه,Use your power بستخدم قوتي,No / لا,No / لا,No / لا,You'll help him/her - هتساعده / هتساعدها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Male / ولد,17-19 years,No / لا,Yes / اه,No / لا,No / لا,No / لا,Use your power بستخدم قوتي,No / لا,No / لا,No / لا,You'll help him/her - هتساعده / هتساعدها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,Yes / اه,No / لا
Male / ولد,14-16 years,No / لا,No / لا,Yes / اه,No / لا,No / لا,Use your power بستخدم قوتي,No / لا,No / لا,No / لا,You'll help him/her - هتساعده / هتساعدها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Male / ولد,14-16 years,No / لا,Yes / اه,Yes / اه,No / لا,Yes / اه,Use your power بستخدم قوتي,No / لا,No / لا,Yes / اه,You'll help him/her - هتساعده / هتساعدها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Male / ولد,14-16 years,No / لا,No / لا,Yes / اه,Yes / اه,Yes / اه,Use your power بستخدم قوتي,No / لا,No / لا,Yes / اه,You'll help him/her - هتساعده / هتساعدها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Female /  بنت,17-19 years,No / لا,No / لا,Yes / اه,No / لا,No / لا,Use your power بستخدم قوتي,No / لا,No / لا,No / لا,You'll ignore him/her هتتاجهله - هتتجاهلها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,Yes / اه,No / لا
Female /  بنت,17-19 years,No / لا,No / لا,Yes / اه,No / لا,No / لا,Use your power بستخدم قوتي,No / لا,No / لا,No / لا,You'll help him/her - هتساعده / هتساعدها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Male / ولد,17-19 years,No / لا,Yes / اه,No / لا,No / لا,Yes / اه,Use your power بستخدم قوتي,No / لا,No / لا,Yes / اه,You'll ignore him/her هتتاجهله - هتتجاهلها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Female /  بنت,17-19 years,No / لا,Yes / اه,Yes / اه,No / لا,Yes / اه,Use your power بستخدم قوتي,No / لا,No / لا,No / لا,You'll ignore him/her هتتاجهله - هتتجاهلها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Male / ولد,14-16 years,No / لا,No / لا,Yes / اه,No / لا,Yes / اه,Use your power بستخدم قوتي,No / لا,No / لا,No / لا,You'll help him/her - هتساعده / هتساعدها,Both parents have a high school diploma معاهم ثانوية عامة,No / لا,No / لا
Female /  بنت,17-19 years,No / لا,No / لا,Yes / اه,Yes / اه,Yes / اه,Use your power بستخدم قوتي,No / لا,No / لا,No / لا,You'll help him/her - هتساعده / هتساعدها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Female /  بنت,17-19 years,No / لا,No / لا,Yes / اه,No / لا,Yes / اه,Use your power بستخدم قوتي,No / لا,No / لا,No / لا,You'll help him/her - هتساعده / هتساعدها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Female /  بنت,17-19 years,No / لا,No / لا,Yes / اه,No / لا,Yes / اه,Use your power بستخدم قوتي,No / لا,No / لا,No / لا,You'll help him/her - هتساعده / هتساعدها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Male / ولد,17-19 years,No / لا,Yes / اه,Yes / اه,No / لا,Yes / اه,Use your power بستخدم قوتي,No / لا,No / لا,Yes / اه,You'll help him/her - هتساعده / هتساعدها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Female /  بنت,14-16 years,No / لا,No / لا,Yes / اه,No / لا,No / لا,Use your power بستخدم قوتي,No / لا,No / لا,No / لا,You'll help him/her - هتساعده / هتساعدها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Male / ولد,17-19 years,Yes / اه,Yes / اه,No / لا,No / لا,Yes / اه,Use your power بستخدم قوتي,Yes / اه,No / لا,Yes / اه,You'll ignore him/her هتتاجهله - هتتجاهلها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,Yes / اه,No / لا
Female /  بنت,14-16 years,No / لا,No / لا,Yes / اه,No / لا,No / لا,Use your power بستخدم قوتي,No / لا,No / لا,No / لا,You'll help him/her - هتساعده / هتساعدها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Female /  بنت,17-19 years,No / لا,Yes / اه,No / لا,Yes / اه,Yes / اه,Brick or Stone بستخدم الحجر,No / لا,No / لا,No / لا,You'll help him/her - هتساعده / هتساعدها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Female /  بنت,14-16 years,No / لا,No / لا,Yes / اه,No / لا,No / لا,Use your power بستخدم قوتي,No / لا,Yes / اه,No / لا,You'll ignore him/her هتتاجهله - هتتجاهلها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Female /  بنت,11-13 years,Yes / اه,Yes / اه,Yes / اه,Yes / اه,No / لا,Use your power بستخدم قوتي,No / لا,No / لا,No / لا,You'll ignore him/her هتتاجهله - هتتجاهلها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
Male / ولد,17-19 years,No / لا,No / لا,No / لا,No / لا,No / لا,Use your power بستخدم قوتي,No / لا,No / لا,No / لا,You'll help him/her - هتساعده / هتساعدها,At least one of the parents or both have a university education.واحد منهم او هما الاتنين معاهم تعليم جامعي,No / لا,No / لا
